,Name,Year,ID,Rating,Complexity,Overall Rank,Plays Last Month,Owns,Wants,Wishlists,Abstract Rank,Customizable Rank,Thematic Rank,Family Rank,Children Rank,Party Rank,Strategy Rank,War Rank
114,Azul: Master Chocolatier,2022,363247,6.56153,1.7895,1081,526,4753,81,674,17.0,,,,,,,
115,Hive,2001,2655,7.17763,2.3155,297,869,51031,605,5786,18.0,,,,,,,
116,Onitama,2014,160477,7.15429,1.6517,315,657,33777,609,6189,19.0,,,,,,,
117,Nova Luna,2019,284435,6.89705,1.8777,580,1056,12075,291,2057,20.0,,,,,,,
118,SHŌBU,2019,272380,6.44701,1.8667,1322,77,3377,170,1449,21.0,,,,,,,
119,LYNGK,2017,217083,6.23617,2.8056,1876,32,2573,121,680,22.0,,,,,,,
120,ZÈRTZ,1999,528,6.67162,2.7434,900,52,6337,211,1030,23.0,,,,,,,
121,Ohanami,2019,270314,6.65293,1.1348,928,293,7581,161,1184,24.0,,,,,,,
122,Through the Desert,1998,503,6.87999,2.2014,603,112,15394,645,2868,25.0,,,,,,,
123,Tak,2017,197405,6.62717,2.4521,967,101,5580,253,1830,26.0,,,,,,,
124,Verdant,2022,334065,6.75612,2.0811,760,775,10973,151,2032,27.0,,,,,,,
125,Blue Lagoon,2018,244331,6.69804,2.0068,851,124,7224,277,1915,28.0,,,,,,,
126,Ingenious,2004,9674,6.90811,1.9087,565,304,21591,324,2170,29.0,,,,,,,
127,Paris: La Cité de la Lumière,2019,276498,6.71476,2.0328,826,195,10335,205,1648,30.0,,,,,,,
128,Miyabi,2019,285533,6.35799,2.0652,1527,69,2728,210,1266,31.0,,,,,,,
129,The Duke,2013,36235,6.69635,2.4889,856,11,6714,261,1618,32.0,,,,,,,
130,Torres,1999,88,6.77735,2.86,722,45,13979,314,1554,33.0,,,,,,,
131,Taluva,2006,24508,6.80921,2.2567,680,81,8709,507,2258,34.0,,,,,,,
132,Orchard: A 9 card solitaire game,2018,245487,6.62011,1.172,980,431,7227,99,1059,35.0,,,,,,,
133,Zendo,2001,6830,6.53775,2.5187,1134,24,3536,343,1373,36.0,,,,,,,
134,That Time You Killed Me,2021,344258,6.38034,2.4375,1480,213,4033,268,2078,37.0,,,,,,,
135,Bridge,1925,2181,6.62263,3.8839,975,82,2044,8,155,38.0,,,,,,,
136,Dragon Castle,2017,232219,6.7558,1.9718,761,164,11349,257,1980,39.0,,,,,,,
137,GIPF,1996,527,6.46355,2.7822,1275,22,5422,164,746,40.0,,,,,,,
138,Medina (Second Edition),2014,167270,6.37404,2.3768,1492,26,2766,288,1019,41.0,,,,,,,
139,Reef,2018,244228,6.72909,1.8023,806,209,13993,274,2331,42.0,,,,,,,
140,Shogi,1587,2065,6.32403,3.775,1612,8,3180,56,513,43.0,,,,,,,
141,Café,2020,284936,6.49775,2.033,1206,261,5886,143,1106,44.0,,,,,,,
142,Tash-Kalar: Arena of Legends,2013,146278,6.75708,2.8416,758,81,9036,248,1771,45.0,,,,,,,
143,Medina,2001,1261,6.42682,2.779,1370,26,4130,181,641,46.0,,,,,,,
144,Chess,1475,171,7.01014,3.6562,441,1720,52667,39,407,47.0,,,,,,,
145,Ricochet Robots,1999,51,6.7053,2.3845,842,78,9686,220,1327,48.0,,,,,,,
146,Ingenious: Travel Edition,2006,22484,6.28849,1.8545,1708,11,2916,68,311,49.0,,,,,,,
147,Ubongo 3D,2009,46396,6.25891,1.9479,1804,35,2688,74,340,50.0,,,,,,,
148,Photosynthesis,2017,218603,6.81647,2.2587,674,211,38794,533,6527,51.0,,,,,,,
149,Metro X,2018,248861,6.27518,1.7391,1754,159,3562,104,675,52.0,,,,,,,
150,Sagani,2020,309105,6.28119,1.9062,1734,316,2781,102,728,53.0,,,,,,,
151,Cuzco,2018,249411,6.12238,2.5763,2317,24,2785,171,760,54.0,,,,,,,
152,Cribbage,1630,2398,6.78562,1.9038,713,1034,16236,13,360,55.0,,,,,,,
153,Pueblo,2002,3228,6.32897,2.2512,1595,163,3049,301,1096,56.0,,,,,,,
154,Blokus,2000,2453,6.71633,1.7443,823,248,38760,187,1843,57.0,,,,,,,
155,Land vs Sea,2021,336929,6.32573,1.7391,1605,105,4943,145,1361,58.0,,,,,,,
156,Great Plains,2021,330036,6.16011,1.7317,2149,85,2921,122,886,59.0,,,,,,,
157,Iwari,2020,270109,6.29191,2.1549,1698,81,2388,200,1337,60.0,,,,,,,
158,Lacuna,2023,386937,6.05747,1.0476,2585,433,1870,198,1243,61.0,,,,,,,
159,Noctiluca,2019,269752,6.26486,1.3167,1789,84,3622,123,984,62.0,,,,,,,
160,Glüx,2016,207207,6.15543,1.5946,2168,15,2071,91,458,63.0,,,,,,,
161,Blokus Duo,2005,16395,6.45834,1.6846,1286,68,9253,53,374,64.0,,,,,,,
162,Mahjong,1850,2093,6.65116,2.5723,934,225,11186,58,586,65.0,,,,,,,
163,NMBR 9,2017,217449,6.55522,1.2197,1095,285,10184,163,1227,66.0,,,,,,,
164,Kamisado,2008,38545,6.28123,2.3731,1733,65,3562,97,667,67.0,,,,,,,
165,Aton,2005,19999,6.35939,2.1166,1523,28,4659,113,549,68.0,,,,,,,
166,Blokus Trigon,2006,21550,6.32344,1.9331,1615,28,4407,64,313,69.0,,,,,,,
167,Xiangqi,762,2393,6.2328,3.57,1884,11,3251,46,342,70.0,,,,,,,
168,Quarto,1991,681,6.55625,1.8958,1094,384,12922,126,1164,71.0,,,,,,,
169,Confusion: Espionage and Deception in the Cold War,1992,2961,6.13583,2.413,2253,2,1969,233,907,72.0,,,,,,,
170,The Rose King,1992,201,6.33319,1.9372,1581,70,5953,111,526,73.0,,,,,,,
171,boop.,2022,355433,6.3265,1.3636,1602,852,3825,153,1448,74.0,,,,,,,
172,Blokus 3D,2003,6411,6.33906,1.7453,1567,30,5291,98,467,75.0,,,,,,,
173,"Hey, That's My Fish!",2003,8203,6.57855,1.4483,1043,327,28327,311,1956,76.0,,,,,,,
174,Ta Yü,1999,117,6.10883,2.0667,2374,8,2116,142,478,77.0,,,,,,,
175,Butterfly Garden,2012,116954,6.31794,1.4688,1628,44,4939,219,1061,78.0,,,,,,,
176,Taluva Deluxe,2015,188076,5.86771,2.375,3738,13,771,154,410,79.0,,,,,,,
177,Seikatsu,2017,216428,6.20082,1.493,2000,93,3020,115,832,80.0,,,,,,,
178,Dokmus,2016,199793,6.06194,2.0455,2573,8,1775,53,302,81.0,,,,,,,
179,Riichi Mahjong,1920,108018,6.01148,3.475,2796,53,600,8,73,82.0,,,,,,,
180,Qwirkle,2006,25669,6.61785,1.5925,985,579,38153,152,1666,83.0,,,,,,,
181,Aqualin,2020,295948,6.11478,1.5556,2347,120,3371,58,570,84.0,,,,,,,
182,Qin,2012,127997,6.21091,2.0267,1967,54,2980,167,542,85.0,,,,,,,
183,Framework,2022,353152,6.00539,1.7857,2834,414,1334,85,507,86.0,,,,,,,
184,District Noir,2016,216497,6.14761,1.2857,2198,353,3103,106,632,87.0,,,,,,,
185,Fresh Fish,2014,164698,5.96918,2.3846,3040,49,1349,218,489,88.0,,,,,,,
186,Gunkimono,2018,251890,6.05742,1.8696,2586,25,2109,72,425,89.0,,,,,,,
187,Mandala Stones,2021,317504,6.13321,1.8113,2274,105,4180,55,501,90.0,,,,,,,
188,Bosk,2019,252556,6.15348,2.0652,2175,39,4490,89,827,91.0,,,,,,,
189,Gorinto,2021,270293,6.00981,1.75,2811,55,2350,38,406,92.0,,,,,,,
190,PÜNCT,2005,19764,6.09759,2.7321,2418,15,3593,144,503,93.0,,,,,,,
191,Ubongo,2003,16986,6.43945,1.5069,1341,193,13093,163,891,94.0,,,,,,,
192,The Climbers,2008,34297,6.26653,1.7895,1779,16,4270,261,959,95.0,,,,,,,
193,Tiwanaku,2022,267979,5.98339,2.2,2949,151,1664,109,689,96.0,,,,,,,
194,Fjords,2005,15511,6.24293,1.7188,1852,10,3587,279,921,97.0,,,,,,,
195,Mythic Mischief,2022,342894,6.15247,2.5143,2181,127,2351,188,1563,98.0,,,,,,,
196,Ubongo: Duel,2008,34969,5.97717,1.7848,2983,10,1842,48,184,99.0,,,,,,,
